ticker,name,group,date,price,rsi,sma200,gap,cagr5,cagr10,spread,industry,moat_why,moat_score,curr_dd,max_dd,dd_ratio,dd_ratio_adj,dd_neutral,years_used,invest_score
NVDA,NVIDIA Corporation,衛星,2026-09-25,224.6000,54.8633,199.1249,12.7935,59.1392,64.2126,-5.0735,半導體,GPU與CUDA軟體生態形成開發者與資料中心雙邊鎖定 | AI訓練推論系統級方案領先，客戶重訓遷移成本極高 | 競爭加劇與資本支出週期是風險，生態護城河仍領先同業,88,4.5078,66.3351,0.0680,0.0680,False,9.9959,61.4000
LRCX,Lam Research Corporation,衛星,2026-09-25,312.6740,55.3318,270.4543,15.6107,40.0081,44.2978,-4.2897,半導體設備,蝕刻與沉積設備在先進製程不可或缺，客戶認證週期長 | 與晶圓廠共同開發製程，更換供應商風險高 | 設備資本支出強週期，護城河偏技術與關係而非需求穩定,74,27.7673,56.3932,0.4924,0.4924,False,9.9959,57.3000
ANET,"Arista Networks, Inc.",衛星,2026-09-25,207.5101,60.8773,157.0439,32.1351,55.9035,44.2758,11.6277,網路設備,雲端業者軟體驅動交換機市佔高，營運簡化形成偏好 | 與超大規模客戶共同迭代，認證與軟體棧提高黏著 | 客戶集中與週期採購是風險，技術護城河優於傳統網通,76,1.4204,52.2006,0.0272,0.0272,False,9.9959,44.3000
KLAC,KLA Corporation,衛星,2026-09-25,187.5500,53.8617,175.6191,6.7936,39.7195,41.3705,-1.6509,半導體設備,製程控制與檢測設備寡占格局，良率管理剛需難替代 | 與晶圓廠深度整合的量測流程形成高轉換成本 | 同樣受半導體設備週期影響，質化壁壘高於純週期製造,78,37.7674,44.4668,0.8493,0.8493,False,9.9959,68.8000
AVGO,Broadcom Inc.,衛星,2026-09-25,352.1350,43.5828,367.0386,-4.0605,50.0735,39.3258,10.7477,半導體,客製ASIC與基礎設施軟體（VMware等）帶來高黏著經常性收入 | 設計中與長期供應合約鎖定大型雲與設備客戶 | 併購整合能力與現金流再投資強化複合護城河,87,26.6286,48.3000,0.5513,0.5513,False,9.9959,79.0000
TSM,Taiwan Semiconductor Manufacturing Company Limited,衛星,2026-09-25,451.1700,62.8695,381.3499,18.3087,33.3965,34.3028,-0.9063,半導體代工,先進製程產能與良率領先，客戶難以轉移最尖端芯片 | 規模資本支出與生態（設備、材料、人才）形成巨大壁壘 | 地緣與客戶集中是風險，技術與製造護城河仍屬世界級,94,5.2745,56.4666,0.0934,0.0934,False,9.9959,57.3000
AMAT,"Applied Materials, Inc.",衛星,2026-09-25,480.5650,54.4621,420.6790,14.2356,28.6737,33.6901,-5.0165,半導體設備,沉積、離子植入等廣譜設備組合覆蓋多製程步驟 | 與晶圓廠長期服務與零件收入提高週期下滑時的韌性 | 競爭與資本週期明顯，護城河中上但低於獨占環節,73,33.4607,55.1392,0.6068,0.6068,False,9.9959,55.3000
ASML,ASML Holding N.V.,衛星,2026-09-25,1740.9100,54.3187,1521.7145,14.4045,15.9914,33.2104,-17.2190,半導體設備,EUV光刻幾乎獨占，先進製程不可繞過的供應商 | 極高研發與供應鏈複雜度使潛在競爭者數十年難追 | 地緣出口管制是外部風險，產品護城河仍是名單頂級之一,97,12.3793,56.8618,0.2177,0.2177,False,9.9959,59.4000
PANW,"Palo Alto Networks, Inc.",衛星,2026-09-25,381.6500,57.2407,245.2676,55.6055,36.0774,31.3613,4.7160,網絡安全,平台化資安產品堆疊提高平台替換成本與交叉銷售 | 威脅情報與大型企業部署經驗形成數據與信任壁壘 | 資安競爭激烈、創新快，護城河強但需持續產品執行,80,3.6237,47.9834,0.0755,0.0755,False,9.9959,43.9000
MELI,"MercadoLibre, Inc.",衛星,2026-09-25,1743.7100,35.3232,1845.0702,-5.4936,-1.3842,25.0878,-26.4720,電商支付,拉美電商與支付、物流閉環形成區域網絡效應 | 金融服務延伸提高用戶錢包與賣家資金流黏著 | 宏觀與競爭風險高於成熟市場平台，護城河偏區域領先,79,33.2840,69.1232,0.4815,0.4815,False,9.9959,48.4000
NOW,"ServiceNow, Inc.",衛星,2026-09-25,136.9100,53.0992,116.6384,17.3799,0.5414,24.4720,-23.9306,企業軟體,IT與工作流平台深度客製，企業替換專案成本極高 | 應用商店與開發者生態強化平台鎖定 | 成長放緩時估值敏感，但企業軟體轉換壁壘本質仍強,86,41.5109,64.5417,0.6432,0.6432,False,9.9959,46.1000
NFLX,"Netflix, Inc.",衛星,2026-09-25,71.3000,37.3720,84.7134,-15.8339,3.7743,22.3980,-18.6237,串流媒體,全球訂戶規模與內容預算形成內容與品牌飛輪 | 原創內容與推薦演算法提高參與度與續訂 | 串流競爭與內容成本壓力使護城河遜於支付或操作系統級,72,46.7565,75.9473,0.6156,0.6156,False,9.9959,49.2000
META,"Meta Platforms, Inc.",衛星,2026-09-25,750.9451,71.1601,625.4210,20.0703,16.5138,19.5420,-3.0282,社群廣告,社交與短影音網絡效應巨大，廣告主與創作者雙邊強化 | 應用家族與訊息生態提高用戶時間與轉換成本 | 監管、隱私與注意力競爭是風險，廣告規模護城河仍深,90,4.5568,76.7361,0.0594,0.0594,False,9.9959,36.7000
